customer_id,original_segment
CUST001000,Champions
CUST001001,Champions
CUST001002,Champions
CUST001003,Champions
CUST001004,Champions
CUST001005,Champions
CUST001006,Champions
CUST001007,Champions
CUST001008,Champions
CUST001009,Champions
CUST001010,Champions
CUST001011,Champions
CUST001012,Champions
CUST001013,Champions
CUST001014,Champions
CUST001015,Champions
CUST001016,Champions
CUST001017,Champions
CUST001018,Champions
CUST001019,Champions
CUST001020,Champions
CUST001021,Champions
CUST001022,Champions
CUST001023,Champions
CUST001024,Champions
CUST001025,Champions
CUST001026,Champions
CUST001027,Champions
CUST001028,Champions
CUST001029,Champions
CUST001030,Champions
CUST001031,Champions
CUST001032,Champions
CUST001033,Champions
CUST001034,Champions
CUST001035,Champions
CUST001036,Champions
CUST001037,Champions
CUST001038,Champions
CUST001039,Champions
CUST001040,Champions
CUST001041,Champions
CUST001042,Champions
CUST001043,Champions
CUST001044,Champions
CUST001045,Champions
CUST001046,Champions
CUST001047,Champions
CUST001048,Champions
CUST001049,Champions
CUST001050,Champions
CUST001051,Champions
CUST001052,Champions
CUST001053,Champions
CUST001054,Champions
CUST001055,Champions
CUST001056,Champions
CUST001057,Champions
CUST001058,Champions
CUST001059,Champions
CUST001060,Champions
CUST001061,Champions
CUST001062,Champions
CUST001063,Champions
CUST001064,Champions
CUST001065,Champions
CUST001066,Champions
CUST001067,Champions
CUST001068,Champions
CUST001069,Champions
CUST001070,Champions
CUST001071,Champions
CUST001072,Champions
CUST001073,Champions
CUST001074,Champions
CUST001075,Champions
CUST001076,Champions
CUST001077,Champions
CUST001078,Champions
CUST001079,Champions
CUST001080,Champions
CUST001081,Champions
CUST001082,Champions
CUST001083,Champions
CUST001084,Champions
CUST001085,Champions
CUST001086,Champions
CUST001087,Champions
CUST001088,Champions
CUST001089,Champions
CUST001090,Champions
CUST001091,Champions
CUST001092,Champions
CUST001093,Champions
CUST001094,Champions
CUST001095,Champions
CUST001096,Champions
CUST001097,Champions
CUST001098,Champions
CUST001099,Champions
CUST001100,Champions
CUST001101,Champions
CUST001102,Champions
CUST001103,Champions
CUST001104,Champions
CUST001105,Champions
CUST001106,Champions
CUST001107,Champions
CUST001108,Champions
CUST001109,Champions
CUST001110,Champions
CUST001111,Champions
CUST001112,Champions
CUST001113,Champions
CUST001114,Champions
CUST001115,Champions
CUST001116,Champions
CUST001117,Champions
CUST001118,Champions
CUST001119,Champions
CUST001120,Champions
CUST001121,Champions
CUST001122,Champions
CUST001123,Champions
CUST001124,Champions
CUST001125,Champions
CUST001126,Champions
CUST001127,Champions
CUST001128,Champions
CUST001129,Champions
CUST001130,Champions
CUST001131,Champions
CUST001132,Champions
CUST001133,Champions
CUST001134,Champions
CUST001135,Champions
CUST001136,Champions
CUST001137,Champions
CUST001138,Champions
CUST001139,Champions
CUST001140,Champions
CUST001141,Champions
CUST001142,Champions
CUST001143,Champions
CUST001144,Champions
CUST001145,Champions
CUST001146,Champions
CUST001147,Champions
CUST001148,Champions
CUST001149,Champions
CUST001150,Champions
CUST001151,Champions
CUST001152,Champions
CUST001153,Champions
CUST001154,Champions
CUST001155,Champions
CUST001156,Champions
CUST001157,Champions
CUST001158,Champions
CUST001159,Champions
CUST001160,Champions
CUST001161,Champions
CUST001162,Champions
CUST001163,Champions
CUST001164,Champions
CUST001165,Champions
CUST001166,Champions
CUST001167,Champions
CUST001168,Champions
CUST001169,Champions
CUST001170,Champions
CUST001171,Champions
CUST001172,Champions
CUST001173,Champions
CUST001174,Champions
CUST001175,Champions
CUST001176,Champions
CUST001177,Champions
CUST001178,Champions
CUST001179,Champions
CUST001180,Champions
CUST001181,Champions
CUST001182,Champions
CUST001183,Champions
CUST001184,Champions
CUST001185,Champions
CUST001186,Champions
CUST001187,Champions
CUST001188,Champions
CUST001189,Champions
CUST001190,Champions
CUST001191,Champions
CUST001192,Champions
CUST001193,Champions
CUST001194,Champions
CUST001195,Champions
CUST001196,Champions
CUST001197,Champions
CUST001198,Champions
CUST001199,Champions
CUST001200,Champions
CUST001201,Champions
CUST001202,Champions
CUST001203,Champions
CUST001204,Champions
CUST001205,Champions
CUST001206,Champions
CUST001207,Champions
CUST001208,Champions
CUST001209,Champions
CUST001210,Champions
CUST001211,Champions
CUST001212,Champions
CUST001213,Champions
CUST001214,Champions
CUST001215,Champions
CUST001216,Champions
CUST001217,Champions
CUST001218,Champions
CUST001219,Champions
CUST001220,Champions
CUST001221,Champions
CUST001222,Champions
CUST001223,Champions
CUST001224,Champions
CUST001225,Champions
CUST001226,Champions
CUST001227,Champions
CUST001228,Champions
CUST001229,Champions
CUST001230,Champions
CUST001231,Champions
CUST001232,Champions
CUST001233,Champions
CUST001234,Champions
CUST001235,Champions
CUST001236,Champions
CUST001237,Champions
CUST001238,Champions
CUST001239,Champions
CUST001240,Champions
CUST001241,Champions
CUST001242,Champions
CUST001243,Champions
CUST001244,Champions
