customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,segment
CUST001000,17,41,2277.45,5,5,5,555,15,Champions
CUST001001,14,53,2380.85,5,5,5,555,15,Champions
CUST001002,18,72,3314.12,5,5,5,555,15,Champions
CUST001003,24,77,3412.6499999999996,4,5,5,455,14,Champions
CUST001004,13,77,2838.13,5,5,5,555,15,Champions
CUST001005,13,83,4138.44,5,5,5,555,15,Champions
CUST001006,24,35,1786.11,4,5,5,455,14,Champions
CUST001007,19,59,2669.4,5,5,5,555,15,Champions
CUST001008,12,70,3144.74,5,5,5,555,15,Champions
CUST001009,18,58,2728.77,5,5,5,555,15,Champions
CUST001010,12,40,2104.5,5,5,5,555,15,Champions
CUST001011,12,46,2015.9799999999998,5,5,5,555,15,Champions
CUST001012,16,84,3680.54,5,5,5,555,15,Champions
CUST001013,3,52,2454.3599999999997,5,5,5,555,15,Champions
CUST001014,4,78,3244.5899999999997,5,5,5,555,15,Champions
CUST001015,11,38,1551.01,5,5,5,555,15,Champions
CUST001016,8,59,2602.3399999999997,5,5,5,555,15,Champions
CUST001017,16,42,1960.54,5,5,5,555,15,Champions
CUST001018,9,42,2008.46,5,5,5,555,15,Champions
CUST001019,6,34,1528.6,5,5,5,555,15,Champions
CUST001020,23,49,2129.39,4,5,5,455,14,Champions
CUST001021,13,51,2494.4,5,5,5,555,15,Champions
CUST001022,15,61,2488.33,5,5,5,555,15,Champions
CUST001023,6,54,2576.33,5,5,5,555,15,Champions
CUST001024,11,66,2560.75,5,5,5,555,15,Champions
CUST001025,15,67,3029.6,5,5,5,555,15,Champions
CUST001026,8,25,1094.2,5,5,5,555,15,Champions
CUST001027,17,89,4361.92,5,5,5,555,15,Champions
CUST001028,11,75,3573.5099999999998,5,5,5,555,15,Champions
CUST001029,13,54,2971.89,5,5,5,555,15,Champions
CUST001030,11,61,2957.8199999999997,5,5,5,555,15,Champions
CUST001031,26,49,2319.95,4,5,5,455,14,Champions
CUST001032,14,65,3200.2799999999997,5,5,5,555,15,Champions
CUST001033,8,52,2607.8599999999997,5,5,5,555,15,Champions
CUST001034,19,72,4304.0599999999995,5,5,5,555,15,Champions
CUST001035,7,62,2788.73,5,5,5,555,15,Champions
CUST001036,16,48,2645.93,5,5,5,555,15,Champions
CUST001037,3,37,1668.54,5,5,5,555,15,Champions
CUST001038,7,27,1248.67,5,5,5,555,15,Champions
CUST001039,16,62,3225.77,5,5,5,555,15,Champions
CUST001040,19,81,3616.5499999999997,5,5,5,555,15,Champions
CUST001041,16,37,1597.04,5,5,5,555,15,Champions
CUST001042,14,31,1345.69,5,5,5,555,15,Champions
CUST001043,13,77,3672.1,5,5,5,555,15,Champions
CUST001044,6,55,3153.3199999999997,5,5,5,555,15,Champions
CUST001045,10,71,3653.04,5,5,5,555,15,Champions
CUST001046,12,40,1950.48,5,5,5,555,15,Champions
CUST001047,21,30,1162.6399999999999,4,5,5,455,14,Champions
CUST001048,17,60,2649.8599999999997,5,5,5,555,15,Champions
CUST001049,4,37,1489.59,5,5,5,555,15,Champions
CUST001050,16,85,3674.5899999999997,5,5,5,555,15,Champions
CUST001051,12,67,3329.19,5,5,5,555,15,Champions
CUST001052,10,57,3103.75,5,5,5,555,15,Champions
CUST001053,18,45,1765.53,5,5,5,555,15,Champions
CUST001054,21,53,2700.8399999999997,4,5,5,455,14,Champions
CUST001055,20,54,2844.7999999999997,5,5,5,555,15,Champions
CUST001056,9,25,1221.2,5,5,5,555,15,Champions
CUST001057,13,43,2214.41,5,5,5,555,15,Champions
CUST001058,16,52,2733.8199999999997,5,5,5,555,15,Champions
